"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Caribbean small states","CSS","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5731664231407","98.0132439917226","97.4250433923097","103.299698197729","115.626060782663","125.455141434538","137.155526040785","162.171876217241","173.880360560426","163.232616045998","171.96129437132","178.79269153641","182.482785270043","185.503731700348","189.656941437887","189.884743169289","190.672042329095","192.568538391354","204.745837594959","","",
"Cuba","CUB","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.34454346","37.06335068","41.34950256","46.15651703","45.46519089","49.2115593","55.2603035","55.88776016","54.10710907","55.04729843","56.23636627","75.6967392","79.33895874","87.52320099","83.47997284","94.9418869","101.29593658","104.856987","108.64221954","","",
"Curacao","CUW","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","419.55316162","431.87936401","469.92227173","545.67352295","641.96954346","680.71630859","712.36834717","826.76428223","1107.79833984","1051.13452148","881.64312744","874.93658447","804.79577637","816.33685303","845.33087158","722.84667969","775.55773926","810.68127441","872.4307251","","",
"Czech Republic","CZE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.96939468","41.35377502","49.7826767","66.41870117","79.8946228","94.58348083","109.71929169","151.32846069","233.8210907","217.06532288","209.53660583","227.8087616","212.1550293","211.1933136","213.05014038","190.40353394","198.557724","218.5697937","250.54763794","","",
"Germany","DEU","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","288.08840942","288.21231079","322.87481689","404.83023071","485.22186279","502.42645264","536.46002197","602.8515625","659.20959473","649.5244751","643.7489624","705.45074463","675.27954102","678.75695801","689.99682617","605.01745605","616.52032471","645.92559814","692.16296387","","",
"Djibouti","DJI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.4048233","16.98953438","17.20784378","17.03608704","16.63946533","17.07149124","17.87298393","18.08282852","17.05932426","16.68954277","16.32050133","16.66417885","16.57309914","16.24760628","16.56936264","16.90444374","17.81704903","18.89496994","20.47017097","","",
"Dominica","DMA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.1420517","93.38175201","92.62329102","95.13227844","100.64531708","102.75667572","105.37576294","122.54005432","144.86651611","145.3578949","139.38098145","138.65779114","140.75404358","132.64431763","137.67344666","135.31692505","135.12760925","113.90965271","158.90727234","","",
"Denmark","DNK","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","383.30380249","393.41418457","426.50564575","525.08428955","623.82550049","653.49407959","694.20233154","796.2958374","866.51879883","851.41363525","864.80249023","913.93444824","850.08581543","861.27331543","878.92437744","747.91870117","763.17474365","796.85186768","855.74468994","","",
"Dominican Republic","DOM","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.52502441","79.2230072","82.89963531","65.4358902","66.39305878","92.25283051","89.84220886","94.4601593","104.82272339","109.77552032","136.12330627","142.18838501","154.13412476","151.67845154","161.47193909","171.57019043","189.30751038","198.49023438","206.51568604","","",
"Algeria","DZA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.88482475","14.47503376","14.97079372","16.01868629","24.13895607","28.29415321","33.98879623","42.40410233","54.09418488","57.12789154","66.22439575","80.1044693","86.2928009","91.48970032","95.87503052","82.24240875","80.53232574","83.96138","83.53256226","","",
"East Asia & Pacific (excluding high income)","EAP","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1410257806394","22.872911677685","25.1886231470922","27.8402890600428","30.4953323932429","35.0261636474514","38.6357779963731","42.7697834166751","52.7335061716844","58.5804075648518","65.8291687466105","81.1260041575748","92.3218829524552","101.745891698591","105.666774490997","108.839896028882","112.5018031969","123.336993833322","138.532680318699","","",
"Early-demographic dividend","EAR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5688946314966","29.9842304064709","28.2000812083905","30.3000220498878","33.5493524167152","39.4751184213446","42.7624972924238","49.1360991242316","52.8483777951208","51.6735987773948","60.1419836092362","63.5280575351513","64.9828132310111","67.659549679913","65.0289897014525","64.0366098050291","62.8859917069101","66.0834769846419","66.1118579474648","","",
"East Asia & Pacific","EAS","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.0440007766535","54.2473301617332","56.39146985307","64.2880273153404","70.0719473454295","74.5462564096795","79.1927577013887","83.7848883407581","96.9216311112591","104.86254249404","117.614335333261","138.6552279553","150.599819500778","152.225774008023","155.274510770567","153.587753719745","160.512258900299","171.367743214979","188.461736648128","","",
"Europe & Central Asia (excluding high income)","ECA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.3874842487581","31.3054425970001","36.0134032910507","44.3964102160254","57.9555707007674","72.7348371534492","87.6771341226667","111.040815832528","133.962208116205","116.656438422697","133.071793372262","151.784590545019","162.819931723335","179.659157793778","169.366216637675","132.836316436702","129.683839303288","148.75580628554","149.859646403606","","",
"Europe & Central Asia","ECS","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161.387136622685","165.379506856082","184.518051720197","226.973167677924","266.316557693667","278.392464846786","302.295431246881","354.425755816637","395.115858084001","366.892142644709","373.356462875295","411.153132128055","401.36786912764","424.764103033187","429.665154331374","370.540993199292","368.871183111282","391.134262222914","415.009044520421","","",
